tid,kat,these1,these2
1,1,Ich habe meinen privaten Bereich weitgehend durchdacht und geordnet. Um mich richtig wohl zu fühlen brauche ich ein gewisses Maß an Berechenbarkeit und Sicherheit.,Im privaten Bereich bin ich eher spontan und flexibel. Mein Privatbereich soll Aufregendes und Überraschungen bieten. 
2,1,"Wenn ich mich mit Freunden treffen will, machen wir meist einen Termin aus. ",Mit Freunden treffe ich mich meist spontan?
3,1,Ich bevorzuge ausgesuchte Bekanntschaften und Gespräche mit Tiefgang.,Mich interessieren neue Bekanntschaften und schnell ins Gespräch zu kommen.
4,1,Ich fahre gerne an ein bekanntes und bewährtes Urlaubsziel zurück. Da weiß ich was ich habe.,Im Urlaub suche ich neue unbekannte Ziele. Mich reizt das Neue.
5,1,"Bei uns zuhause gibt es ein paar feste Regeln (Essenszeiten, Familienzeiten, ..), die uns helfen ein erfülltes Familienleben zu haben.","Bei uns zuhause geht es vor allem nach Zweckmäßigkeit. Wer Hunger hat, isst etwas, .. usw. "
6,1,"Wenn wir in einer großen Gruppe Essen gehen, finde ich es eine schöne Geste, wenn wir die Rechnung durch die Anzahl der Köpfe teilen – auch wenn ich mehr zahle als ich konsumiert habe.","Mir ist es lieber, wenn jeder seine eigene Rechnung zahlt. Ich will weder von anderen „subventioniert“ werden, noch für andere mitzahlen."
7,1,Ich spende gerne und oft.,Wenn Personen unverschuldet in Not geraten helfe ich gezielt.
8,1,Geld ist Mittel zum Zweck. In einer Notlage würde ich Freunden und Angehörigen helfen oder mir helfen lassen.,Ein finanzielles Polster ist wichtig für die Unabhängigkeit. Jeder ist verantwortlich für Notlagen vorzusorgen.
9,1,"Manchmal halte ich notwendige Kritik zurück, weil ich Andere nicht verletzen will.","Für eine wirklich gute und stabile Beziehung halte ich es für notwendig, dass ich auch offen die Meinung sage."
10,1,Jeder hat mal einen schlechten Tag. Dafür zeige ich auch Verständnis.,Auch als Privatperson bin ich Rollenwerwartungen ausgesetzt. Schwäche und Rückzug akzeptiere ich nicht.
11,1,"Die Welt wird besser, wenn jeder mehr auf seine Mitmenschen eingeht.","Die Welt wird besser, wenn jeder bei sich selbst anfängt, Dinge besser zu machen."
12,1,Vertrautes Miteinander ist mir wichtiger als persönliche Interessen.,Meine persönlichen Hobbies und Interessen sind meine stärktste Kraftquelle.
13,1,"Wenn jemand aus meinem Bekanntenkreis ein Problem hat, bin ich oft ein Ansprechpartner, der Trost spendet.","Ich versuche Hilfe zur Selbsthilfe zu geben. Am Ende muss jeder lernen, sich selbst zu helfen."
14,1,Beim Skifahren sollte der Langsamste das Tempo bestimmen.,Es sollten Leistungsgruppen gebildet werden. Man kann sich ja in Abständen treffen.
15,1,"Man sollte Dinge ausdiskutieren, bis ein Kompromiss gefunden ist, mit dem Alle leben können.","Wenn nach einer angemessenen Zeit keine Einigung zu erzielen ist, sollte einfach abgestimmt werden."
16,1,Auf Schwächere muss man Rücksicht nehmen.,Auch Schwächere müssen sich bemühen und dürfgen es sich nicht bequem machen.
17,1,Ich vertraue meinem Partner/meinem besten Freund 100%ig und hinterfrage nicht.,"Jeder Mensch ist Versuchungen ausgesetzt. Es ist weltfremd und unverantwortlich, blind zu vertrauen."
18,1,In Liebesfragen orientiere ich mich rein nach meinem Bauchgefühl.,"Eine langfristig erfüllende Beziehung ist nur möglich, wenn gleichartige Grundhaltungen und gemeinsame Ziele gegeben sind."
19,1,"Wenn ich unerwartet gute Freunde treffe, kann es sein, dass ich mal richtig „abstürze“ und am nächsten Tag zu nichts zu gebrauchen bin.","Dienst ist Dienst und Schnaps ist Schnaps. Ich kann richtig feiern, aber am nächsten Tag stehe ich wie eine „1“ in der Arbeit und erfülle 100%ig meine Pflicht."
20,1,Im Sport tobe ich mich so richtig aus.,Im Sport habe ich ein Trainingsprogramm und ein klares Ziel.
21,2,"Ich bestätige wichtige Sachverhalte gerne schriftlich, z.B. mit einer kurzen E-Mail, vor allem weil man alles nachvollziehen kann und eine sichere Grundlage für die weitere Arbeit hat.","Ich kommuniziere am liebsten mündlich. Die Situationen und Schwerpunkte ändern sich so schnell, dass man oft heute Dinge ganz anders beurteilen muss als gestern. "
22,2,"Eine Firma kann nur funktionieren, wenn sich die Mitarbeiter an Regeln und Vorgaben halten.","Eine Firma kann nur im Wettbewerb bestehen, wenn jeder Mitarbeiter zu jeder Zeit beurteilt, ob die Einhaltung einer Regel im gegebenen Einzelfall sinnvoll ist."
23,2,In einem Prämiensystem sollte das stärkste Gewicht die Leistung des Teams haben.,In einem Prämiensystem sollte das stärkste Gewicht die Leistung des Einzelnen haben.
24,2,Am liebsten entwickle ich die Anforderungen an meinen Arbeitsbereich in enger Abstimmung und im Dialog mit den Kollegen.,"Am liebsten arbeite ich selbstständig, selbstverständlich auf Basis klarer Ziele und koordiniert mit den betroffenen Kollegen."
25,2,Auf private Belange und Belastungen sollte im Beruf Rücksicht genommen werden. Das zahlt sich langfristig aus.,"Kurzfristig wird man Rücksicht nehmen, aber generell muss jeder seinen privaten Bereich so regeln, dass er im Beruf voll leistungsfähig ist. Bei Ungleichbehandlung entsteht Neid und Missgunst. "
26,2,"Es ist eine Bringschuld Kollegen zu helfen, wenn sie nicht zurecht kommen.",Mittel- und langfristig erzieht ständige Hilfe zu Unselbstständigkeit. Es ist eine Holschuld fehlendes Wissen zu ergänzen.
27,2,"Ich stecke auch mal zurück, damit Kollegen, die sich nicht so gut in Szene setzen können, zum Zuge kommen.",Ich vertrete die Belange meines Fachbereiches klar und deutlich. Wenn das jeder tut kommen wir zum besten Gesamtergebnis.
28,2,"Ich denke, das gesprochene Wort sollte unter Kollegen gelten. Wenn alles aufgeschrieben und abgesichert wird, entsteht eine Misstrauenskultur.",Wichtige Absprachen sollten schriftlich fixiert werden. So wird die Gefahr von Missverständnissen vermindert. 
29,2,"Für den Erfolg unseres Teams ist entscheidend, dass wir zusammenhalten und „Beziehungskisten“ schnell und gut ausgeräumt werden.","Für den Erfolg unseres Teams ist entscheidend, dass die Ziele klar sind und entsprechende Maßnahmen sauber umgesetzt werden."
30,2,Je nach Tagesform gebe ich mal mehr Gas und mal weniger. Am Ende stimmt natürlich das Ergebnis.,"Ich habe eine Vorstellung bis wann ich welchen Teil der Arbeit erledigt haben will und fahre gut damit, mich daran zu halten."
31,3,"Die Verantwortlichkeiten sind in unserem Team in Arbeitsplatzbeschreibungen geregelt, die auch aktuell gehalten werden.","Hier entscheidet jeder für sich, was nach aktueller Lage und Aufgabenstellung zu tun ist."
32,3,"Bei uns im Team herrscht eher eine Kultur der Sicherheit als der Freiheit, mit allen Vor- und Nachteilen.","Bei uns im Team herrscht eher eine Kultur der Freiheit als der Sicherheit, mit allen Vor- und Nachteilen."
33,3,"Bei uns gibt es klare Vorgaben. Unsere Aufgabe ist es, die Entscheidungen sauber umzusetzen.","Jeder ist aufgefordert zu widersprechen, auch dem Chef, wenn ihm etwas nicht plausibel erscheint. Tragfähige Entscheidungen entstehen nur in offenen Auseinandersetzungen."
34,3,Neue Mitarbeitersollen sich eingliedern und uns unterstützen.,Neue Mitarbeiter sollen bei uns frischen Wind bringen und Routinen in Frage stellen.
35,3,"Es gibt eine Art Routine, wann wir anfangen und aufhören mit der Arbeit. ","Hier macht jeder seine Arbeit so wie er denkt. Wenn viel anliegt wird viel gearbeitet, wenn es rund läuft, kann man auch früher gehen."
36,3,"Die Bitte eines Kollegen um Unterstützung abzulehnen, wäre ein Fauxpas.",Jeder ist grundsätzlich selbst für seine Performance verantwortlich.
37,3,"Wir stimmen uns oft ab und wenn jemand hinterher hinkt, bekommt er Unterstützung.","Jeder ist für seinen Job verantwortlich und muss sich zunächst mal selbst helfen. Das schließt nicht aus, dass Dinge neu verteilt werden müssen, wenn jemand zuviel Arbeitslast trägt."
38,3,"Wenn jemand krank wird, machen wir die Arbeit soweit möglich für ihn mit.","Wenn jemand krank wird, arbeitet er soweit möglich von zuhause oder er muss schauen, wie er wieder Anschluss findet."
39,3,"Wenn jemand krank wird, geht er nach hause, bevor er Andere ansteckt oder es ihn richtig „umhaut“.","Bevor hier jemand wegen Krankheit fehlt, muss er schon auf der Krankenbahre raus getragen werden."
40,3,Wir brauchen keine Regeln für Kaffe- oder Spülmaschine. Jeder packt ohne Aufforderung an.,Wir haben klare Verhaltensregeln für das Zusammenleben im Büro/der Arbeit.
41,3,Die Geburtstage der Teammitglieder sind bekannt und werden im angemessenen Rahmen gefeiert.,Geburtstage werden normalerweise nicht gefeiert. 
42,3,Es gibt auch einige informelle Kontakte in unserem Team. Gelegentlich gehen wir außerhalb der Arbeit aus.,Nach Dienst geht jeder seinen Weg. Privates und Hobbys kommen eh zu kurz.
43,3,"Wir achten darauf, dass jedes Teammitglied die gleiche Wertschätzung erfährt.","Es ist schon klar, wer bei uns die Leistungsträger sind."
44,3,"Wenn es jemanden mal schlecht geht, sagt er das und bekommt dann auch Unterstützung. ","Wenn man schlecht drauf ist, reißt man sich besser zusammen, sonst wird einem das als Schwäche ausgelegt."
45,3,Die wirklich wichtigen Dinge sind allen klar. Protokolle werden eh nicht gelesen.,"Es gibt Protokolle aller wichtigen Sitzungen. Es gibt auch klare Prozedere, z.B. bis wann Tagesordnungspunkte einzureichen sind."
46,3,"Bei uns herrscht eher eine Vertrauenskultur. Wenn z.B. kein Kaffee mehr da ist, bringt ihn der mit, der es am ersten bemerkt.",Wir halten solche Dinge fest. Jeder kommt im Umlauf mal dran. Sonst gibt es erfahrungsgemäß früher oder später Ärger.  
47,3,"Bei uns geht es emotional schon mal auf und ab. Wir versuchen aber immer Lösungen zu finden, mit denen alle leben können.","Wenn wir uneins sind, entscheidet der Chef oder wir stimmen nach angemessener Zeit ab, sonst würde ewig diskutiert."
48,3,"Bei uns wird es schon mal laut und emotional, aber wir lachen auch kräftig.",Bei uns geht es formell und geschäftsmäßig zu.
49,3,"Bei der Vielzahl der Absprachen kommt es schon mal vor, dass etwas übersehen wird. Wir steuern dann nach.",Auf Absprachen kann man sich bei uns verlassen. Wir müssen wenig nachsteuern.
50,3,In Meetings beißen wir uns schon mal an wirklich interessanten Punkten fest. Manchmal sind wir etwas chaotisch.,In Meetings arbeiten wir die Agenda diszipliniert ab. Manchmal sind wir etwas starr.
